Rank,Country,Region,Continent,Legalized Same-Sex Marriage,Year of Legalization,Marriage Points (+50),Worker Protections,Worker Points (+50),Protections Against Discrimination,Legal Points (+50),Criminalization of Violence,Hate Violence Points (+50),Adoption Recognition,Adoption Points(+50),Poll Ranking,Poll Points (+100),Illegal Relationships,Illegal Points (-100),Propaganda/Morality Laws,Morality Points (-50),Trans Legal Identity Laws,"Category
1 = Change w/o surgery (26 to 50 pts) (with hormones only = 30 pts)
2 = Change with surgery (1 to 25 pts)
3 = no rights (0 pts)
4 = illegal (-30 to -50 pts)","Trans Points
(+50 to -50)",Trans Murders per million from 2008 to 2022,"Score 
(worst is -100)
(best is 0)",LGBTQ TRAVEL SAFETY INDEX,Grade
81,Poland,Central Europe,Europe,,,,Protection for Sexual Orientation (Only),25,,,,,,,47,47,,,,,"In order for legal gender to be changed, applicant must sue their parents, receive a medical diagnosis, and make a case to the court (with witnesses, evidence, etc.). Only after legal recognition has been granted can they undergo sex reassignment surgery. There was an almost-successful attempt to change things for the better in 2015, but the president vetoed the bill after it passed the senate.",,10,0.03,-0.28,82,D
82,Lesotho,South Africa,Africa,,,,,,,,,,,,30,30,,,,,"Legal, no surgery required",,50,0,0,80,D
83,Singapore,Southeast Asia,Asia,,,,,,,,Limited,10,,,55,55,,,,,"In 1973, Singapore legalised sex-reassignment surgery. A policy was instituted to enable post-operative transsexual people to change the legal gender on their identity cards (but not their birth certificates) and other documents which flowed from that.",,15,0.18,-1.91,78,D
84,Haiti,North America,North America,,,,,,,,Limited,10,,,19,19,,,,,Legal without surgery (Equaldex),,50,0.09,-0.96,78,D
85,Seychelles,East Africa,Africa,,,,Protection for Sexual Orientation (Only),25,,,,,,,0,0,,,,,Legal without surgery,,50,0,0,75,D
86,Hong Kong,East Asia,Asia,,,,,,,,,,,,64,64,,,,,"Requires surgery and sterilization, and can't change birth cert but can change other docs",,10,0,0,74,D
87,Lao PDR,Southeast Asia,Asia,,,,,,,,,,,,47,47,,,,,Equaldex indicates legal but requires surgery,,25,0.14,-1.52,70,D
88,Vietnam,Southeast Asia,Asia,,,,,,,,,,,,50,50,,,,,"A 2017 law allows those who have had reassignment surgery to register under their preferred gender. However, the procedure is still illegal in Vietnam, and the enforcement of the new law still depends on a further bill that covers requirements for gender change",,15,0,0,65,D
89,Macau,East Asia,Asia,,,,Protection for Sexual Orientation (Only),25,,,,,,,0,0,,,,,"Legal without surgery, but laws lagging",,40,0,0,65,D
90,Honduras,Central America,South America,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,40,40,,,,,No rights,,0,11.8,-100,65,D
91,Armenia,Central Asia,Asia,Foreign,2017,10,,,,,,,,,4,4,,,,,"Legal, no surgery required",,50,0,0,64,D
92,Mozambique,East Africa,Africa,,,,Protection for Sexual Orientation (Only),25,,,,,,,37,37,,,,,"Ambiguous, no laws",,0,0,0,62,D
93,Monaco,Western Europe,Europe,Civil Union/Partnership,2020,12,,,,,Hate Crimes,50,,,0,0,,,,,No rights,,0,0,0,62,D
94,Philippines,Southeast Asia,Asia,,,,Protection for Sexual Orientation (Only),25,Limited,10,,,,,75,75,,,,,Illegal to changes since 2017,,-40,0.74,-8.07,62,D
95,Cayman Islands,Oceania,Oceania,Civil Union/Partnership,2020,12,,,,,,,,,48,48,,,,,No rights,,0,0,0,60,D
96,El Salvador,South America,South America,,,,Protection for Sexual Orientation and Gender Identity,50,,,Hate Crimes,50,,,53,53,,,,,No rights,,0,9.3,-95,58,D-
97,Namibia,South Africa,Africa,,,,Protection for Sexual Orientation (Only),25,"Limited (""A Namibian court has found that the constitution bans discrimination based on sexual orientation."")",10,,,,,38,38,"Sodomy – Uninforced, decriminalization pending",-40,,,"It was reported in 2015 that applications for change of sex are done on a case-by-case basis and are not problematic, as long as a person can provide medical reports of their sex change, which includes undergoing sex reassignment surgery. Once the application is granted, a transgender person can apply for a new identity document and passport.[21]",,25,0,0,58,D-
98,Burkina Faso,West Africa,Africa,,,,,15,,,,,,,13,13,,,,,Surgery required,,25,0,0,53,D-
99,Belarus,,,,,,,,,,,,,,13,13,,,,,"Legal without surgery, but stringent and prohibitive board approvals process",,40,,,53,D-
100,Panama,Central America,South America,,,,,,,,,,,,39,39,,,,,Surgery required,,25,1.18,-12.84,51,D-
101,Micronesia,Oceania,Oceania,,,,Protection for Sexual Orientation (Only),25,Broad Protections,25,,,,,0,0,,,,,No rights,,0,0,0,50,D-
102,The Bahamas,Carribean,North America,,,,,,,,,,,,0,0,,,,,Legal no surgery required,,50,0,0,50,D-
103,Turks and Caicos Islands,North America,North America,,,,Protection for Sexual Orientation (Only),25,Broad Protections,25,(Legislation pending approval),,,,0,0,,,,,No rights,,0,0,0,50,D-
104,Samoa,Oceania,Oceania,,,,Sexual Orientation & Gender Identity,50,,,Limited,10,,,23,23,"Male illegal, up to 5 years in prison. Female legal. Reportedly not enforced, decriminalization potentially pending.",-70,,,"Wide acceptance of transgender individuals (more trans women, but males increasingly accepted as well). Trans individuals even fit into a subculture called Fa'afafine. Equaldex say legal to change, no surgery required, but Wikipedia says unclear. I split the difference in the score accordingly.",,35,0,0,48,D-
105,Grenada,Caribbean,North America,Foreign,2018,10,,,,,Limited,10,,,23,23,,,,,No rights,,0,0,0,43,D-
106,Saint Kitts & Nevis,Caribbean,North America,Foreign,2018,10,,,,,Limited,10,,,23,23,,,,,No rights,,0,0,0,43,D-
107,Equatorial Guinea,Central Africa,Africa,,,,,,,,,,,,0,0,"Legal, but intimidation exists",-10,,,"Gender change legal, no surgery required (Equaldex)",,50,0,0,40,D-
108,Turkey,Middle East,Asia,,,,,,,,,,,,23,23,,,,,Surgery required,,25,0.74,-8.11,40,D-
109,Kyrgyz Republic,Central Asia,Asia,,,, ,,,,,,,,7,7,,,,,Surgery required,,25,0,0,32,D-
110,China,East Asia,Asia,,,,,,,,,,,,36,36,,,Media censored,-25,"In 2009, the Chinese Government made it illegal for minors to change their officially-listed gender, stating that sex reassignment surgery, available to only those over the age of twenty, was required in order to apply for a revision of their identification card and residence registration.",,20,0.01,-0.12,31,D-
111,Paraguay,South America,South America,,,,,,,,,,,,44,44,,,,,"Name change possible, legal gender not possible to change",,5,1.7,-18.58,30,D-
112,Venezuela,South America,South America,,,,Protection for Sexual Orientation (Only),25,,,,,,,51,51,,,,,Name change on IDs pending but stagnated,,2,4.59,-50.12,28,D-
113,Madagascar,East Africa,Africa,,,,,,,,,,,,26,26,,,,,No rights,,0,0,0,26,D-
114,Tajikistan,Central Asia,Asia,,,,,,,,,,,,0,0,,,,,Surgery required,,25,0.11,-1.17,24,D-
115,Trinidad and Tobago,Caribbean,North America,,,,,,,,,,,,29,29,,,,,No rights,,0,0.72,-7.82,21,D-
116,Timor-Leste,Southeast Asia,Asia,,,,,,Limited (treated as aggravating circumstances to a crime),10,Hate Crimes,50,,,0,0,,,,,Illegal to change legal gender,,-40,0,0,20,D-
117,Bhutan,South Asia,Asia,, ,,,,,,,,,,16,16,,,,,No rights ,,0,0,0,16,D-
118,Congo (Congo-Brazzaville),Central Africa,Africa,,,,,,,,,,,,16,16,"Same-sex activity legal, marriage not. No other protections.",,,,No rights,,0,0,0,16,D-
119,Mauritius,East Africa,Africa,,,,Protection for Sexual Orientation (Only),25,Broad Protections,25,,,,,44,44,Sodomy – 5 years in prison,-70,,,No rights,,0,0.79,-8.62,15,D-
120,Niger,West Africa,Africa,,,,,,,,,,,,14,14,,,,,No rights,,0,0,0,14,D-
121,Mali,West Africa,Africa,,,,,,,,,,,,12,12,,,,,No rights,,0,0,0,12,D-
122,Benin,West Africa,Africa,,,,,,,,,,,,10,10,,,,,No rights,,0,0,0,10,D-
123,Gabon,Central Africa,Africa,,,,,,,,,,,,10,10,"Homosexual acts legal since 2020, previously illegal from 2019-2020 with puishment being imprisonment, before that legal but with police harassment",,,,No rights,,0,0,0,10,D-
124,Djibouti,East Africa,Africa,,,,,,,,,,,,5,5,"Same-sex activity legal, marriage not",,,,No rights ,,0,0,0,5,D-
125,Cambodia,Southeast Asia,Asia,,,,,,,,,,,,45,45,,,,,Illegal to change legal gender,,-40,0.06,-0.67,4,D-
126,Guatemala,Central America,South America,,,,,,Limited (for children and their parents),10,,,,,31,31,,,,,"Name change possible, legal gender not possible to change",,5,3.92,-42.71,3,D-
127,Dominican Rep.,South America,South America,,,,Limited,10,,,,,,,41,41,,,,,"Previously not allowed at all, Wikipedia notes a court case with pro-change rulings, but no laws support change.",,0,4.38,-47.75,3,D-
128,Antigua & Barbuda,North America,North America,Foreign,2018,10, ,,,,Limited,10,,,23,23,,,,,Illegal to change legal gender,,-40,0,0,3,D-
129,Kazakhstan,Central Asia,Asia,,,,,,,,,,,,8,8,,,No NGOs,-25,"Since 2003, transgender individuals have been allowed to change their legal gender on their official identity documents in Kazakhstan. People who wanted to change their gender had to receive a diagnosis of ""gender identity disorder"" involving several medical tests and a 30-day psychiatric evaluation. In 2011, new guidelines were established and allowed change to identity documents only after sex reassignment surgery, physical and psychiatric medical examinations, hormone therapy and sterilization. Additionally, people under 21 are not allowed to change their gender on their official identity documents.",,20,0.05,-0.58,2,D-
130,Azerbaijan,Middle East,Asia,,,,,,,,,,,,2,2,,,,,"Name change possible, legal gender not possible to change",,5,0.6,-6.54,0.5,D-
131,Guinea-Bissau,West Africa,Africa,,,,,,,,,,,,0,0,Legal since 2008,,,,No rights,,0,0,0,0,F
132,Nauru,Oceania,Oceania,,,,,,,,,,,,0,0,,,,,No rights,,0,0,0,0,F
133,Palau,Oceania,Oceania,,,,,,,,,,,,0,0,,,,,No rights,,0,0,0,0,F
134,Sao Tome & Principe,Central Africa,Africa,,,,,,,,,,,,0,0,,,,,No rights,,0,0,0,0,F
135,Indonesia,Southeast Asia,Asia,,,,,,,,,,,,13,13,"Homosexuality went from legal to ambiguous in Dec 2022 after the introduction of sex outside of marriage becoming illegal, with no legal recognition of same sex marriage. Up to 1 year in prison.",-10,"Broadcasting, some websites banned",-25,Transgender people are allowed to change their legal gender on official documents after undergoing sex reassignment surgery and after receiving a judge's approval. ,,15,0.04,-0.4,-7,F
136,Belize,South America,South America, ,,,Protection for Sexual Orientation (Only),25,,,,,,,22,22,,,,,"Legalization pending, but currently illegal per Equaldex",,0,5.12,-55.9,-9,F
137,Barbados,North America,North America,Foreign/Limited,2018,5,Protection for Sexual Orientation (Only),25,,,,,,,0,0,"Just verbally struck down, written ruling pending",,,,Illegal to change legal gender,,-40,0,0,-10,F
138,Bahrain,Middle East,Asia, ,,,,,,,,,,,0,0,,,Some movies censored,-25,"In 2006, the Gulf Daily News published a story about a Bahraini person assigned female at birth who, having undergone a sex change operation, was going to court in a bid to have his status as a man recognized in law. The lawyer had won a landmark case in 2005 where the transgender Bahraini had the operation and was legally recognized as a man. The legal case was going through the Bahraini legal system until 2008 when the court granted the motion to allow the transgender man to change his legal documents and be recognized in his gender.[15]",,10,0,0,-15,F
139,Jordan,Middle East,Asia,,,,,,,,,,,,0,0,,,Public acts incompatible with modesty – up to 6 months in prison and a fine,-30,Reviewed individually by courts,,15,0,0,-15,F
140,Bangladesh,South Asia,Asia,,,,,,,,,,,,28,28,"Illegal, imprisonment as punishment - 10 years to life in prison",-97,,,"Non-binary gender recognition exists, can change legal gender without surgery",,50,0.03,-0.34,-19,F
141,Central African Republic,Central Africa,Africa,, ,,,,,,,,,,8,8,"Same-sex sexual activity is legal. However, according to the U.S. Department of State's 2012 human rights report:
The penal code criminalizes ""public expression of love"" between persons of the same sex is imprisonment for six months to two years or a fine of between 150,000 and 600,000 CFA francs ($300 and $1,200). (Wikipedia)",-30,,,No rights,,0,0,0,-22,F
142,Burundi,East Africa,Africa,,,,,15,,,,,,,20,20,"Up to 2 years imprisonment and/or up to 50,000 franc fine for sexual acts (Equaldex)",-60,,,No rights,,0,0,0,-25,F
143,Cote d’lvoire,West Africa,Africa,,,,,,,,,,,,15,15,,,,,"Illegal, no gender change",,-40,0,0,-25,F
144,Eswatini,South Africa,Africa,,,,,,,,,,,,14,14,"Sodomy – uninforced, repeal proposed",-40,,,No rights,,0,0,0,-26,F
145,Democratic Republic of the Congo,Central Africa,Africa,,,,,,,,,,,,13,13,"Same-sex activity legal, marriage not. No other protections.",,,,Illegal,,-40,0,0,-27,F
146,Iraq,Middle East,Asia,,,,,,,,,,,,10,10,,,Obscenity (broadcasting or in public) – up to 1 year or a fine,-37,No rights,,0,0.1,-1.11,-28,F
147,Rwanda,East Africa,Africa,,,,,,,,,,,,11,11,,,,,Illegal to change gender,,-40,0,0,-29,F
148,Russian Federation,Eastern Europe,Europe,,,,,,,,,,,,9,9,"Homosexual activity is legal in Russia, however, it is illegal in Chechnya (punishable by caning on the first two offence and execution on the third offence).",-50,Fine as punishment,-35,"Transgender people are allowed to change their legal gender following sex reassignment surgery; however, there are currently no laws prohibiting discrimination based on gender identity or expression and recent laws could discriminate against transgender residents.",,40,0.07,-0.8,-37,F
149,Chad,Central Africa,Africa,,,,,,,,Limited,10,,,12,12,"Article 354. Everyone who has sex with persons of the same sex is liable to imprisonment for three months to two years and a fine of between 50,000 and 500,000 francs. (Wikipedia)",-60,,,No rights,,0,0,0,-38,F
150,Sri Lanka,South Asia,Asia,,,,,,,,,,,,19,19,Indecent acts – up to 10 years in prison and a fine,-85,,,"Legal, requires surgery",,20,0,0,-46,F
151,Pakistan,South Asia,Asia,,,,Protection for Gender Identity (Only),25,,,,,,,15,15,Indecent acts – life in prison,-97,Censorship,-25,"Similar to India - third class of gender identity, widely favorably accepted, but with some pockets of ridicule, violence, etc. 

Also: In 2010, the Supreme Court ordered the full recognition of the transgender community, including the provision of free medical and educational facilities, microcredit schemes and job quotas for transgender people in every government department.[26]",,40,0.46,-4.99,-47,F
152,Dominica,Caribbean,North America,Foreign,2018,10,,,,,Limited,10,,,23,23,"Penalty: 10 years prison sentence or incarceration in a psychiatric institution. Potentially soon to be repealed, may not be enforced, but potential punishments can be even worse according to code. (Wikipedia)",-90,,,No rights,,0,0,0,-47,F
153,Liberia,West Africa,Africa,,,,,,,,,,,,13,13,Imprisonment of up to one year is the penalty of sodomy. (Equaldex),-60,,,No rights,,0,0.2,-2.21,-49,F
154,Zimbabwe,South Africa,Africa,,,,,,,,,,,,8,8,Sodomy – up to 1 year in prison and/or a fine,-60,,,No rights,,0,0,0,-52,F
155,Togo,East Africa,Africa,,,,,,,,,,,,15,15,Indecent acts – up to 3 years in prison and a fine,-70,,,No rights,,0,0,0,-55,F
156,Comoros,Middle East,Asia,,,,,,,,,,,,24,24,"Both male and female same-sex sexual acts are illegal in Comoros. Such acts are punished with up to five years imprisonment and a fine of 50,000 to 1,000,000 francs (Wikipedia)",-80,,,No rights,,0,0,0,-56,F
157,Lebanon,West Africa,Africa,,,,,,,,,,,,12,12,Indecent acts – up to 1 year in prison,-60,Breach of modesty – up to 1 year in prison and a fine,-25,"Beirut confirmed the right of a transgender man to change his official papers, granting him access to necessary treatment and privacy.[22][23][24] Transgender people are required to undergo sex reassignment surgery in order to change their legal gender.",,15,0,0,-58,F
158,Ghana,West Africa,Africa,,,,,,,,,,,,11,11,Indecent acts – up to 3 years in prison,-70,,,No rights,,0,0,0,-59,F
159,Guinea,Central Asia,Asia,,,,,,,,,,,,10,10,"Homosexuality is illegal, pubishable by up to 3 years (changed from 10 years previously)",-70,,,No rights,,0,0,0,-60,F
160,Turkmenistan,Caribbean,North America,,,,,,,,,,,,0,0,"Male illegal, female legal
up to 2 years imprisonment (Equaldex)",-60,,,No rights,,0,0,0,-60,F
161,Jamaica,East Africa,Africa,,,,Limited,10,,,,,,,36,36,Sodomy – 10 years in prison and hard labor,-90,Television censorship,-30,"Legal, surgery not required but points deducted for lived experiences and low tolerance. What makes the lives of transgender individuals in Jamaica different from those in other countries is the fact that Jamaican society has an exceptionally low tolerance for LGBTQ individuals, especially male-to-female transgender women, according to a case study",,20,0.68,-7.4,-61,F
162,Kenya,Central Africa,Africa,,,,,,,,,,,,30,30,Indecent acts – up to 21 years in prison,-90,Acts,-27,Surgery required,,25,0,0,-62,F
163,Cameroon,Central Asia,Asia,,,,,,,,,,,,16,16,Homosexual acts – up to 5 years in prison and a fine,-80,,,No rights,,0,0,0,-64,F
164,Uzbekistan,West Africa,Africa,,,,,,,,,,,,5,5,Homosexual acts – up to 3 years in prison,-70,,,No rights,,0,0.03,-0.33,-65,F
165,Senegal,Oceania,Oceania,,,,,,,,,,,,3,3,Indecent acts – up to 5 years in prison and a fine,-70,,,No rights,,0,0,0,-67,F
166,Kiribati,Caribbean,North America,,,,Protection for Sexual Orientation and Gender Identity,50,,,,,,,0,0,"Sexual acts between two males expressly illegal, though law unlikely to be enforced. If enforced, penalty up to 14 yrs in prison. Females are less explicitly prohibited from sexual acts with other females.",-80,,,Criminalized to change legal gender (Equaldex),,-40,0,0,-70,F
167,Saint Vincent & the Grenadines,Southeast Asia,Asia,,,,,,,,Limited,10,,,0,0,"Penalty: Up to 10 years imprisonment; not enforced, repeal pending (Wikipedia)",-80,,,No rights,,0,0,0,-70,F
168,Myanmar,West Africa,Africa,,,,,,,,,,,,58,58,"Indecent acts – up to 20 years in prison, fine, and “transportation for life”",-90,,,"Myanmar does not allow transgender people to change the gender assigned to them at birth.[15] Transgender people in Myanmar are subject to rape, mistreatment, or extortion by police,[15] and are often targeted using the ""shadow law"" in section 35(c) of the Police Act.",,-40,0.09,-0.99,-73,F
169,Sierra Leone,East Africa,Africa,,,,,,,,,,,,17,17,"Male illegal, female legal
Male homosexuality is technically punishable with life imprisonment but is rarely enforced. (Equaldex)",-90,,,No rights,,0,0,0,-73,F
170,Eritrea,Oceania,Oceania,,,,,,,,,,,,0,0,"Under Article 600 ""unnatural carnal offences"" can be punished for with imprisonment for between ten days and three years in prison. (Wikipedia)",-75,,,No rights ,,0,0,0,-75,F
171,Tuvalu,North Africa,Africa,,,,,,,,,,,,0,0,"Male illegal, female legal
Up to 14 years for men. Not enforced. Decriminalization pending. (Equaldex and Wikipedia)",-75,,,No rights,,0,0,0,-75,F
172,Algeria,South Africa,Africa,,,,,,,,,,,,21,21,Homosexual acts – up to 2 years in prison and a fine,-70,"Possession, dissemination, and display of materials - up to 2 years in prison and a fine",-26,No rights,,0,0.02,-0.25,-75,F
173,Zambia,South Asia,Asia,,,,,,,,,,,,18,18,Indecent acts – up to life in prison,-97,,,No rights,,0,0,0,-79,F
174,Maldives,Oceania,Oceania,,,,,,,,,,,,0,0,Various offenses – up to 8 years in prison or 100 lashes,-80,,,No rights,,0,0,0,-80,F
175,Papua New Guinea,East Africa,Africa,,,,,,,,,,,,0,0,"Male illegal, female legal (listed as ""not enforced"")
Men can receive 3 to 14 years of imprisonment under Criminal Code 1974. The legislation lists homosexuality under ""Unnatural Offenses"" and ""Indecent Practices Between Males."" (Equaldex, agreed by Wikipedia)",-80,,,No rights,,0,0.11,-1.24,-81,F
176,Uganda,East Africa,Africa,,,,,,,,,,,,40,40,Indecent acts – life in prison,-97,No NGOs,-25,No rights,,0,0.05,-0.49,-82,F
177,Ethiopia,Oceania,Oceania,,,,,,,,,,,,7,7,Homosexual acts – up to 15 years in prison,-90,,,No rights,,0,0,0,-83,F
178,Solomon Islands,North Africa,Africa,,,,,,,,,,,,0,0,"Illegal, up to 14 years in prison depending on act(s). Apparently no recent reports of it being enforced at all, according to human rights orgs",-85,,,No rights,,0,0,0,-85,F
179,Morocco,Caribbean,North America,,,,,,,,,,,,7,7,Indecent acts – 6 months to 3 years in prison and fines,-70,Public indecency – up to 2 years and a fine,-26,No rights,,0,0,0,-89,F
180,Saint Lucia,North Africa,Africa,,,,Protection for Sexual Orientation (Only),25,,,Limited,10,,,0,0,Sodomy – up to 10 years in prison,-85,Attempted (5 years),-40,No rights,,0,0,0,-90,F
181,Tunisia,North Africa,Africa,,,,,,,,,,,,4,4,Sodomy – up to 3 years in prison,-70,Public indecency – up to 6 months in prison and a fine,-25,No rights,,0,0,0,-91,F
182,Egypt,Middle East,Asia,,,,,,,,,,,,0,0,Debauchery – up to 3 years in prison,-70,"LGBTQ supporters imprisoned, tracked on social media - torture and imprisonment as punishment",-50,Surgery required,,25,0,0,-95,F
183,West Bank and Gaza,Middle East,Asia,,,,,,,,,,,,0,0,Indecent acts – up to 10 years in prison,-80,"Palestinian state police enforce moral codes of conduct, and the level of police brutality against LGBTQ people is immense. Much of that entails different levels of harassment, ranging from the obstruction of events to violence against its members. Examples include the shut down of organizational events.",-25,No rights,,0,0,0,-105,F
183,Iran,North Africa,Africa,,,,,,,,,,,,0,0,Homosexual acts – 31 to 100 lashes to death,-100,“Moral corruption” – various punishments,-25,Transgender identity is recognized through a sex reassignment surgery. Sex reassignment surgeries are partially financially supported by the state. Some homosexual individuals in Iran have been pressured to undergo sex reassignment surgery in order to avoid legal and social persecution.[11] Iran carries out more sex reassignment surgeries than any other country in the world after Thailand.,,20,0.01,-0.13,-105,F
184,South Sudan,Oceania,Oceania,,,,,,,,,,,,7,7,"Illegal, up to 10 years in prison and a fine",-83,,,Illegal to change legal gender,,-40,0,0,-116,F
185,Tanzania,East Africa,Africa,,,,,,,,Limited,5,,,13,13,Indecent acts – 30 years to life in prison,-98,Gross indecency – 5 years in prison,-40,No rights,,0,0.03,-0.37,-120,F
186,Tonga,West Africa,Africa,,,,,,,,,,,,0,0,"Male illegal, female uncertain
According to sections 136–142 of the The Criminal Offences Act, the maximum penalty for same-sex sexual activity in Tonga is 10 years in prison and whipping. (Equaldex) Not enforced according to Wikipedia, more current.",-80,,,"Illegal, laws against crossdressing",,-50,0,0,-130,F
187,Qatar,Middle East,Asia,,,,,,,,,,,,0,0,"Sodomy – 1 to 3 years in prison, flogging, or death penalty (no evidence of death penalty being enforced)",-100,Seducing for sodomy – up to 3 years in prison,-37,No rights,,0,0,0,-137,F
188,Afghanistan,Middle East,Asia, , ,,,,,,,,,,3,3,"Homosexual activity Illegal (death penalty as punishment)
Article 427 states homosexuality will suffer long imprisonments (along with Adultery.) In addition, article 398 states that honour killing is legal
-Equaldex",-100,"While there aren't any laws restricting the discussion of LGBT issues in Afganistan, it is illegal and punishable by death to be homosexual in Afganistan",,Illegal to change legal gender,,-40,0.03,-0.28,-137,F
189,Gambia,West Africa,Africa,,,,,,,,,,,,8,8,"Same-sex sexual activity illegal, up to life in prison",-97,,,"""The Gambia's laws do not allow individuals to change their gender. Additional legislation also bans crossdressing."" Equaldex",,-50,0,0,-139,F
190,Somalia,East Africa,Africa,,,,,,,,,,,,0,0,"Illegal, up to death penalty",-100,,,Illegal to change legal gender,,-40,0,0,-140,F
191,Mauritania,West Africa,Africa,,,,,,,,,,,,4,4,"Illegal (death penalty as punishment)
Male homosexuality is punishable by stoning; female homosexuality is punishable by fines or imprisonments (Equaldex)",-100,Imprisonment as punishment,-45,No rights,,0,0,0,-141,F
192,Oman,Middle East,Asia,,,,,,,,,,,,0,0,Homosexual acts – 6 months to 3 years in prison,-70,Censorship,-25,Imitating the opposite sex gets up to 1 year in prison,,-50,0,0,-145,F
193,"Yemen, Rep.",Middle East,Asia,, ,,,,,,,,,,0,0,"Homosexual acts – 100 lashes, up to 3 years in prison, or death by stoning for married men",-100,Imprisonment as punishment,-45,No rights,,0,0,0,-145,F
194,Libya,North Africa,Africa,,,,,,,,,,,,0,0,Indecent same-sex intercourse punishable by up to 5 yrs in prison,-70,"Imprisonment as punishment
Under extensive Public morality laws or laws contrary to the Sharia . (Equaldex)",-50,"History of punishment for crossdressing but not explicitly illegal to crossdress, no legal change of gender",,-30,0,0,-150,F
195,Sudan,North Africa,Africa,,,,,,,,,,,,7,7,Same-sex relations – up to 5 years prison time,-90,cross dressing illegal,-26,Cross dressing is illegal,,-50,0,0,-159,F
196,Malaysia,Southeast Asia,Asia,,,,,,,,,,,,11,11,"Indecent acts – up to 20 years in prison, whipping, and fines",-90,State censorship,-25,"Human Rights Watch reports that state-level Sharia (Islamic) laws prohibit cross-dressing, and transgender people ""face arbitrary arrest, physical and sexual assault, imprisonment, discriminatory denial of health care and employment, and other abuses.",,-50,0.5,-5.47,-159,F
197,UAE,Middle East,Asia,,,,,,,,,,,,0,0,"All sexual acts outside of heterosexual marriage – various penalties (technically 1-15 years and up to death, changed rating to reflect this)",-85,No NGOs,-25,"""any male disguised in a female apparel and enters in this disguise a place reserved for women or where entry is forbidden, at that time, for other than women"" with up to one year in prison and a fine of up to 10,000 dirhams (approximately US$2,723).",,-50,0,0,-160,F
198,Guyana,South America,South America,,,,,,,,,,,,19,19,"Illegal, up to life in prison (""buggery law""), unenforced with decrim. pending",-95,,,Cross-dressing was illegal until 2018 and transgender individuals still receive ill treatment from courts.,,-30,5.11,-55.75,-162,F
199,Malawi,East Africa,Africa,,,,,,,,,,,,3,3,Indecent acts – up to 14 years in prison,-90,No NGOs,-25,"""Every male person who wears the hair of his head in such a fashion as, when he is standing upright, the main line of the bottom of the mass of hair (other than hair growing on his face or on the nape of his neck) lies below an imaginary line drawn horizontally around his head at the level of the mouth.""

Up to six months in prison, fines of up to K50",,-50,0.05,-0.57,-163,F
200,Kuwait,Middle East,Asia,,,,,,,,,,,,0,0,"Imprisonment of up to 7 years. If the offender is an adult (>21) male who has sex with an individual less than 21 years old, imprisonment of up to 10 years.

For female same sexual activity is legal. (Equaldex)",-80,"Mass arrests , people could be sent to deportation or imprisonment under public morality or Islamic Laws. (Equaldex)",-50,"Change not possible, also laws in place against crossdressing",,-50,0,0,-180,F
201,Nigeria,West Africa,Africa,,,,,,,,,,,,10,10,Homosexuality receives up to 14 years in prison; death penalty (state Sharia laws).,-100,Public shows of same-sex amorous relationships – up to 10 years in prison,-50,Nigeria criminalizes transgender and gender nonconforming people in its northern states under Sharia.,,-50,0,0,-190,F
202,Saudi Arabia,Middle East,Asia,,,,,,,,,,,,0,0,"Homosexual acts – 100 whips, banishment for 1 year, or death sentence",-100,Imprisonment as punishment,-45,"The Saudi government views cross-dressing and being transgender as being prohibited under Islamic jurisprudence, and is therefore illegal.[35] Criminal sanctions for cross-dressing tend to be the same for homosexuality, i.e. fines, imprisonment, capital punishment, and, for foreigners, deportation.",,-50,0.06,-0.63,-196,F
203,Brunei,Southeast Asia,Asia,,,,,,,,,,,,0,0,"Illegal, used to be just imprisonment, but a new penal code in 2019 made it an offense punishable by stoning to death.",-100,"In Brunei, censorship towards LGBT issues are state enforced since the country is based on Sharia Law and managed by the monarchy. Those who are sought to be deviant or critizizing the Bruneian government or promoting something's contradictory to Islam could be subjected to imprisonment , lashing , fines or exile . (equaldex)",-50,"""Laws against men dressing as women and vice versa"" (equaldex)",,-50,0,0,-200,F
